name,category,price,original_price,stock,image,description,badge,rating,reviews
Hardside Spinner Trolley 28-inch,luggage,2799,4999,25,https://images.unsplash.com/photo-1565026057447-bc90a3dceb87?w=400&q=80,"TSA Lock, 360 Wheels",Best Seller,4,3
Hardside Cabin Trolley 20-inch,luggage,1999,3499,25,https://images.unsplash.com/photo-1436491865332-7a61a109cc05?w=400&q=80,"TSA Lock, Flight Ready",Airline Approved,5,987
Pressure Cooker 3L,kitchen,999,1799,25,https://images.unsplash.com/photo-1585837146751-a4b0f2df9e44?w=400&q=80,"ISI Certified, 5 Year Warranty",Must Have,5,3421
Anti-Theft Laptop Backpack 35L,luggage,1499,2499,25,https://images.unsplash.com/photo-1491553895911-0055eca6402d?w=400&q=80,"Water Resistant, USB Charging Port",Top Pick,5,2108
Hardside Luggage Set - 3 Pcs,luggage,5499,10999,25,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&q=80,20-inch + 24-inch + 28-inch Set,,5,654
Steel Masala Dabba 7-Jar Set,kitchen,549,899,25,https://images.unsplash.com/photo-1606851091851-e8c8c0fca5ba?w=400&q=80,Airtight and Rustproof,Best Seller,5,5672
Kitchen Utensils Starter Set,kitchen,799,1499,25,https://images.unsplash.com/photo-1556910103-1c02745aae4d?w=400&q=80,"Spatula, Ladle, Tongs and more",,4,1893
Stainless Steel Lunch Box 3-Tier,kitchen,449,799,25,https://images.unsplash.com/photo-1622560480605-d83c853bc5c3?w=400&q=80,Leakproof and Microwave Safe,Popular,5,4102
Anti-Theft Crossbody Bag,luggage,899,1499,25,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=400&q=80,"RFID Blocking, Water Resistant",New Arrival,4,445
Blustar Insulated Casserole Set 3-Pc,kitchen,1799,2499,25,casserole-set-blustar.jpeg,"1000ml + 2000ml + 4000ml, Hot Case",New Arrival,5,0
Garden 2-in-1 Juicer Mixer Grinder,kitchen,2999,4299,25,mixer-grinder-garden.jpeg,Juicer + Blender Jar Combo,New Arrival,5,0
Better Mixer Grinder,kitchen,2499,3499,25,mixer-grinder-better.jpeg,"Stainless Steel Jar, Powerful Motor",New Arrival,5,0
Robot Mixer Grinder,kitchen,2699,3799,25,mixer-grinder-robot.jpeg,"3-Speed Control, Steel Jar",New Arrival,5,0
Yasuda Electric Rice Cooker,kitchen,1899,2599,25,rice-cooker-yasuda.jpeg,"Non-Stick Bowl, Cook + Warm",New Arrival,5,0
Home Glory Electric Rice Cooker,kitchen,2199,2999,25,rice-cooker-homeglory.jpeg,"Large Capacity, Cook + Warm",New Arrival,5,0
Panda Digital Electric Pressure Cooker,kitchen,4499,6499,25,pressure-cooker-panda.jpeg,"Rice, Congee, Soup and Meat Presets",Best Seller,5,0
Tulip Nonstick Fry Pan Set 2-Pc,kitchen,1440,1899,25,frypan-set-tulip.jpeg,"Soft-Grip Handle, Non-Stick Coating",New Arrival,5,0
Stainless Steel Insulated Lunch Box 4-Pc,kitchen,1299,1799,25,lunchbox-steel-4pc.jpeg,Leakproof Tiers + Carry Bag,Popular,5,0
Oval Casserole with Gold Handles,kitchen,1599,2199,25,casserole-oval-pink-gold.jpeg,"Insulated, Stainless Steel Interior",New Arrival,5,0
Insulated Tiffin Set 3-Pc,kitchen,1099,1499,25,tiffin-set-pink-yellow.jpeg,"Stackable, Carry Handle",New Arrival,5,0
Assorted Melamine Dinner Plates,kitchen,129,199,25,plates-plain-set.jpeg,"Solid Colours, Set of 8",,5,0
Floral Print Dinner Plates,kitchen,159,249,25,plates-floral-set.jpeg,"Assorted Prints, Set of 6",,5,0
Royal Serve Granite Ceramic Tea Cups 6-Pc,kitchen,899,1299,25,teacups-royalserve.jpeg,"Ceramic, Boxed Set",New Arrival,5,0
Milda Ceramic Tea Cup Set,kitchen,699,999,25,teacups-milda.jpeg,"Printed Ceramic Mugs, Boxed Set",New Arrival,5,0
